front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
N,4,2,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,250,0,No,No,No,No,Yes,طويق,West of Riyadh,1150000.0,4600.0
S,5,3,5,15,Yes,0,No,No,No,Yes,Yes,Yes,Yes,250,0,Yes,No,No,No,No,النرجس,North of Riyadh,3000000.0,12000.0
W,7,1,4,20,No,0,No,Yes,Yes,Yes,No,Yes,No,250,0,No,No,No,No,No,العزيزية,South of Riyadh,580000.0,2320.0
NE,7,3,5,16,Yes,7,Yes,Yes,Yes,Yes,Yes,Yes,No,760,0,Yes,No,Yes,Yes,No,اليرموك,East of Riyadh,3700000.0,4868.421052631579
S,6,3,5,20,Yes,0,No,No,Yes,Yes,No,Yes,No,375,0,Yes,Yes,No,Yes,No,المهدية,West of Riyadh,2900000.0,7733.333333333333
N,5,3,4,20,Yes,0,No,No,Yes,Yes,Yes,Yes,Yes,200,0,Yes,Yes,No,No,No,المهدية,West of Riyadh,1400000.0,7000.0
E,4,1,5,20,No,0,No,Yes,Yes,Yes,No,Yes,No,450,0,No,No,No,No,No,ديراب,West of Riyadh,1300000.0,2888.8888888888887
N,5,2,5,15,Yes,0,No,Yes,Yes,Yes,No,Yes,Yes,243,0,Yes,No,No,No,No,الدار البيضاء,South of Riyadh,900000.0,3703.703703703704
S,4,1,4,15,No,4,No,Yes,Yes,Yes,No,Yes,No,375,3,No,No,No,No,No,الرمال,East of Riyadh,1500000.0,4000.0
W,4,2,5,15,No,0,No,No,Yes,Yes,Yes,Yes,Yes,200,0,No,No,No,No,No,طويق,West of Riyadh,1070000.0,5350.0
N,7,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,Yes,No,عكاظ,South of Riyadh,1170000.0,3900.0
N,5,2,5,20,Yes,0,No,Yes,Yes,Yes,No,Yes,No,386,2,Yes,No,No,No,No,البيان,East of Riyadh,1900000.0,4922.279792746114
S,5,3,5,15,Yes,0,No,Yes,No,Yes,No,Yes,No,335,1,No,No,No,No,No,بدر,South of Riyadh,1250000.0,3731.3432835820895
